Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'21""","77°21'53""",02-07-2018,937,14,40,58.32,212,8,262,155,0,280.6,0.53,8.1,1610,340,5.002809,0,56.84793
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",02-01-2019,1056,174,28,72.9,209,37,284,101,0,298.9,1.25,8.1,1710,370,4.727422,0,52.14687
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",02-01-2019,1682,211,52,114.21,366,36,766,54,6,152.5,0.96,8.4,2870,600,6.501215,0,55.21296
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'32""","77°32'37""",02-01-2019,810,77,64,36.45,170,5,241,119,0,195.2,1.16,8.2,1350,310,4.202107,0,53.91296
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",02-01-2019,487,31,8,17.01,129,34,64,51,7.212265,242.6296,2,8.5,820,90,5.916428,2.418469,67.77005
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°52'15""",02-01-2019,302,11,30,18.225,51,8,43,49,2.200731,147.72,1.2,8.2,510,150,1.812248,0,40.93068
63344,Bore Well,Tiruppur,Tiruppur,Muthaiankinaru,"11°12'15""","77°20'95""",02-01-2019,173,22,18,10.935,23,7,21,22,1.173181,78.74757,0.35,8.2,250,90,1.055115,0,33.59913
63347,Dug Well,Tiruppur,Tiruppur,Nallur,"11°06'00""","77°23'30""",02-01-2019,1062,167,20,63.18,253,29,340,37,0,305,1.16,8.2,1790,310,6.251848,0,61.33028
63355,Dug Well,Tiruppur,Tiruppur,Kandiyankoil,"11°00'50""","77°28'10""",02-01-2019,1695,211,60,106.92,377,4,674,216,0,91.5,0.97,7.9,2800,590,6.753334,0,57.95905
63357,Dug Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°14'15""",02-01-2019,1030,180,20,68.04,253,4,319,24,0,323.3,1.3,8.2,1750,330,6.059387,0,62.15993
63360,Bore Well,Tiruppur,Tiruppur,Abisekapuram,"11°16'01""","77°21'53""",02-01-2019,1143,163,20,40.095,301,38,305,154,0,244,1.23,8.2,1780,215,8.931865,0,71.3032
63421,Dug Well,Tiruppur,Palladam,Karanampettai,"11°01'06""","77°11'00""",02-01-2019,541,105,14,49.815,94,8,170,51,0,97.6,1.14,8.1,890,240,2.639887,0,44.97497
63424,Dug Well,Tiruppur,Palladam,Anuppatti,"10°58'05""","77°13'46""",02-01-2019,243,43,10,30.375,30,4,21,25,1.907145,128.0136,0.57,8.2,410,150,1.065728,0,29.61858
63430,Dug Well,Tiruppur,Palladam,Chinnakarai,"11°03'26""","77°18'34""",02-01-2019,687,161,56,97.2,23,7,213,72,0,115.9,0.64,7.9,1200,540,0.4306611,0,8.356164
63431,Dug Well,Tiruppur,Palladam,Kethanur,"10°54'54""","77°15'49""",02-01-2019,1147,211,24,55.89,262,47,284,132,6,250.1,1.4,8.4,1810,290,6.694032,0,61.95277
63433,Dug Well,Tiruppur,Palladam,Naranapuram,"11°01'31""","77°17'24""",02-01-2019,1300,236,100,53.46,255,22,468,110,0,109.8,0.9,7.8,2080,470,5.11913,0,52.70759
63523,Dug Well,Tiruppur,Dharapuram,Kilankundal,"10°45'05""","77°43'35""",02-01-2019,1303,264,40,97.2,216,70,390,119,0,213.5,1.3,8.2,2130,500,4.202926,0,44.35929
63536,Dug Well,Tiruppur,Dharapuram,Erichinampalayam,"10°50'40""","77°44'30""",02-01-2019,679,63,16,75.33,101,34,128,82,6,347.7,2.1,8.4,1210,350,2.348761,0,35.83385
63542,Dug Well,Tiruppur,Kangayam,Vellakoil,"10°56'40""","77°42'55""",02-01-2019,268,14,14,20.655,53,2,50,47,1.285769,108.6513,0.88,8.1,460,120,2.105241,0,48.48464
53260,Dug Well,Tiruppur,Avinasi,Raddipalayam,"11°10'26""","77°27'39""",03-01-2019,1442,231,40,72.9,343,31,440,131,12,280.6,0.14,8.5,2360,400,7.462175,0,62.93222
53261,Dug Well,Tiruppur,Avinasi,Sakarperiyapalayam,"11°07'45""","77°24'18""",03-01-2019,2495,329,152,116.64,492,104,1035,159,0,213.5,0.07,8,4110,860,7.301089,0,51.8878
53271,Dug Well,Tiruppur,Avinasi,Thalapathi,"11°11'59""","77°26'20""",03-01-2019,768,169,76,97.2,35,4,149,104,18,231.8,1.71,8.7,1330,590,0.6270033,0,11.34786
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",03-01-2019,2760,558,224,262.44,242,108,1134,206,0,48.8,0.9,7.9,4590,1640,2.600329,0,22.8522
HP2ETR24 A,Bore Well,Tiruppur,Dharapuram,Kallivalasu,"10°37'58""","77°25'54""",03-01-2019,607,37,40,77.76,53,6,113,173,0,213.5,1.7,8.2,1150,420,1.125248,0,21.24037
HP2ETR25 A,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°46'52""","77°27'47""",03-01-2019,1779,248,184,106.92,265,95,454,233,0,524.6,1.5,8.2,2950,900,3.844341,0,36.09205
MWSETR13,Bore Well,Tiruppur,Dharapuram,Sankarandampalayam,"10°48'55""","77°36'24""",03-01-2019,1295,98,56,116.64,225,43,418,88,12,475.8,2.1,8.4,2280,620,3.931688,0,42.04114
MWSETR15,Bore Well,Tiruppur,Dharapuram,Kolathupalayam,"10°44'32""","77°36'38""",03-01-2019,287,15,36,34.02,14,4,35,54,1.812067,153.125,0.98,8.1,520,230,0.4017143,0,11.47415
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",03-01-2019,1280,372,44,99.63,212,27,347,92,0,170.8,1.7,8.1,2020,520,4.045026,0,45.41217
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",03-01-2019,468,31,32,41.31,69,9,106,88,1.75359,148.1835,1.3,8.1,810,250,1.898918,0,36.47799
63510,Dug Well,Tiruppur,Dharapuram,P.K.Palayam,"10°46'15""","77°18'50""",03-01-2019,2023,558,208,189.54,154,10,681,206,0,30.5,0.9,7.8,3250,1300,1.858684,0,20.34111
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",03-01-2019,386,9,24,36.45,67,5,60,54,3.154886,211.7659,1,8.2,710,210,2.011776,0,40.25701
63533,Dug Well,Tiruppur,Dharapuram,Sinukinaru,"10°50'20""","77°33'05""",03-01-2019,827,136,40,63.18,32,168,163,106,12,213.5,1.7,8.5,1290,360,0.7338549,0,10.80356
63801,Dug Well,Tiruppur,Madathukulam,Ramachandrapuram,"10°43'30""","77°10'35""",03-01-2019,639,60,44,34.02,122,11,206,110,0,103.7,0.89,7.9,1040,250,3.357847,0,50.14224
63804A,Dug Well,Tiruppur,Madathukulam,Gudimangalam,"10°41'42""","77°16'54""",03-01-2019,54,7,8,2.43,2,8,7,4,0.1849894,24.77529,0.33,7.9,80,30,0.1589365,0,9.765865
63806,Dug Well,Tiruppur,Madathukulam,Kongalnagaram,"10°40'35""","77°12'05""",03-01-2019,285,53,40,12.15,37,6,67,24,0.5555568,74.40472,0.79,7.9,490,150,1.314954,0,33.81915
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam East,"10°29'17""","77°21'19""",03-01-2019,86,8,18,4.86,2,4,7,14,0.5255616,44.41149,0.58,8.1,140,65,0.1079785,0,5.848362
63818A,Dug Well,Tiruppur,Madathukulam,Neelambur,"10°32'02""","77°21'34""",03-01-2019,509,99,40,32.805,76,15,99,55,0,183,0.96,8.2,830,235,2.157473,0,39.42479
63820A,Dug Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",03-01-2019,303,71,6,32.805,41,5,53,42,1.246577,83.67418,0.69,8.2,500,150,1.456413,0,36.32061
63826,Dug Well,Tiruppur,Madathukulam,Kaniyur,"10°36'16""","77°22'42""",03-01-2019,885,236,72,26.73,150,45,170,72,6,213.5,1.98,8.4,1340,290,3.833803,0,48.44437
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",04-01-2019,284,7,14,27.945,46,4,25,59,2.420921,162.4998,1.3,8.2,500,150,1.634208,0,39.22237
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",04-01-2019,422,40,6,25.515,97,6,71,139,0.8795946,59.04116,1,8.2,650,120,3.852446,0,62.30709
HP2ETR21,Bore Well,Tiruppur,Kangayam,Uthiyur,"10°53'20""","77°31'45""",04-01-2019,1132,155,48,102.06,207,11,362,64,0,366,1,8.2,1960,540,3.875829,0,44.84271
63334,Dug Well,Tiruppur,Avinashi,Avinashi-TB,"11°11'17""","77°16'18""",04-01-2019,176,9,16,12.15,75,13,25,15,1.168814,98.76824,0.84,8.1,310,90,3.44043,0,60.49068
63341,Dug Well,Tiruppur,Avinashi,Ramanathapuram,"11°13'06""","77°11'24""",04-01-2019,918,170,20,55.89,205,14,177,154,0,244,1.54,8,1430,280,5.330278,0,59.95738
63532,Dug Well,Tiruppur,Kangayam,Uthiyur,"10°53'40""","77°31'40""",04-01-2019,1463,198,60,140.94,244,13,581,110,0,231.8,0.9,8.1,2550,730,3.929283,0,41.55954
63540,Dug Well,Tiruppur,Kangayam,Kadaiyur,"10°59'05""","77°36'30""",04-01-2019,2209,496,304,106.92,269,18,922,65,0,54.9,0.62,7.9,3540,1200,3.3799,0,32.38486
63576,Dug Well,Tiruppur,Kangayam,Sivanmalai,"11°02'15""","77°31'40""",04-01-2019,727,74,30,53.46,140,23,220,58,0,256.2,0.3,8.2,1260,295,3.546663,0,48.4299
HP2ETR10 A,Bore Well,Tiruppur,Kangayam,Poomandanvalasu,"11°04'04""","77°33'28""",05-01-2019,442,83,16,61.965,23,39,35,34,3.595264,241.3255,0.89,8.2,780,295,0.5826076,0,12.67128
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",07-01-2019,93,9,12,4.86,12,4,7,7,0.8795946,59.04116,0.4,8.2,160,50,0.7386287,0,32.15973
63811,Dug Well,Tiruppur,Udumalpet,Udumalpet,"10°34'25""","77°14'25""",07-01-2019,325,30,16,10.935,87,7,57,22,0.7266878,154.2482,1.4,7.7,560,85,4.106692,0.8542534,66.84106
63827,Dug Well,Tiruppur,Udumalpet,Ilalayamuthur,"10°28'55""","77°18'00""",07-01-2019,53,6,10,3.645,2,3,7,5,0.3658192,24.55494,0.37,8.2,90,40,0.1376382,0,9.036435
63828,Dug Well,Tiruppur,Udumalpet,Kannamanaickanur,"10°33'15""","77°16'20""",07-01-2019,101,11,20,3.645,5,7,25,7,0.2061751,34.76228,1.11,7.8,170,65,0.2699637,0,12.83443
63830,Dug Well,Tiruppur,Udumalpet,Kuralikuttai,"10°32'35""","77°15'00""",07-01-2019,91,8,22,2.43,5,4,11,5,0.6425166,54.29454,0.6,8.1,160,65,0.2699813,0,13.44453
63831,Dug Well,Tiruppur,Udumalpet,Deepalapatti,"10°32'35""","77°03'19""",07-01-2019,79,5,16,3.645,3,6,14,6,0.3720329,39.57797,0.17,8,140,55,0.1760827,0,9.439755
63832,Dug Well,Tiruppur,Udumalpet,Periya Valavadi,"10°32'53""","77°10'58""",07-01-2019,64,6,10,3.645,2,8,7,5,0.2591029,34.70118,0.66,7.9,110,40,0.1376382,0,7.976828
MWSETR06,Bore Well,Tiruppur,Avinashi,Virumandempalayam,"11°12'46""","77°23'41""",07-01-2019,1009,99,40,99.63,179,4,383,82,18,207.4,0.13,8.7,1820,510,3.448653,0,43.05762
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",01-07-2019,99,6,10,8.505,12,4,14,4,1.194825,63.70541,0.2,8.3,180,60,0.6741681,0,28.62961
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'32""","77°32'37""",02-07-2019,148,9,10,7.29,35,3,28,7,1.842468,78.03194,0.1,8.4,260,55,2.053824,0.2415316,56.426
63424,Dug Well,Tiruppur,Palladam,Anuppatti,"10°58'05""","77°13'46""",02-07-2019,2182,236,40,160.38,437,34,638,514,12,219.6,1.3,8.5,3440,760,6.896559,0,54.19904
63430,Dug Well,Tiruppur,Palladam,Chinnakarai,"11°03'26""","77°18'34""",02-07-2019,3199,148,88,189.54,771,16,1170,694,0,244,0.2,8.2,5380,1000,10.60827,0,62.18051
63431,Dug Well,Tiruppur,Palladam,Kethanur,"10°54'54""","77°15'49""",02-07-2019,1740,282,28,41.31,518,10,376,184,24,481.9,1.7,8.9,2770,240,14.54925,3.902318,81.68364
63433,Dug Well,Tiruppur,Palladam,Naranapuram,"11°01'31""","77°17'24""",02-07-2019,1291,262,88,48.6,265,30,404,126,0,134.2,0.5,8.2,2010,420,5.627599,0,55.7257
63801,Dug Well,Tiruppur,Madathukulam,Ramachandrapuram,"10°43'30""","77°10'35""",02-07-2019,338,8,24,26.73,41,23,103,66,0.222233,74.76196,0.3,7.5,590,170,1.368354,0,30.91386
63804A,Dug Well,Tiruppur,Madathukulam,Gudimangalam,"10°41'42""","77°16'54""",02-07-2019,86,10,14,4.86,5,6,11,4,0.7328016,49.18795,0.1,8.2,140,55,0.2934485,0,14.79974
63806,Dug Well,Tiruppur,Madathukulam,Kongalnagaram,"10°40'35""","77°12'05""",02-07-2019,248,28,16,26.73,28,11,82,10,0.1115569,74.88052,0.4,7.2,430,150,0.9947635,0,27.08137
63421,Dug Well,Tiruppur,Palladam,Karanampettai,"11°01'06""","77°11'00""",03-07-2019,569,85,18,55.89,97,7,177,65,0,128.1,0.3,8.2,960,275,2.544925,0,42.63757
53260,Dug Well,Tiruppur,Avinasi,Raddipalayam,"11°10'26""","77°27'39""",04-07-2019,293,7,28,13.365,60,7,64,34,1.210155,128.7399,0.4,8,510,125,2.33567,0,49.37286
53261,Dug Well,Tiruppur,Avinasi,Sakarperiyapalayam,"11°07'45""","77°24'18""",04-07-2019,2282,254,128,106.92,524,5,950,192,0,244,0.15,7.7,3870,760,8.271584,0,59.81296
53271,Dug Well,Tiruppur,Avinasi,Thalapathi,"11°11'59""","77°26'20""",04-07-2019,824,43,20,93.555,138,12,170,158,0,378.2,1.7,8.2,1500,435,2.878632,0,40.00148
MWSETR06,Bore Well,Tiruppur,Avinashi,Virumandempalayam,"11°12'46""","77°23'41""",04-07-2019,1284,186,40,106.92,248,21,461,83,0,274.5,0.95,7.9,2200,540,4.643359,0,48.77003
63811,Dug Well,Tiruppur,Udumalpet,Udumalpet,"10°34'25""","77°14'25""",05-07-2019,340,19,14,8.505,92,14,64,36,3.457162,146.4173,0.8,8.4,570,70,4.785551,1.116678,69.49486
63828,Dug Well,Tiruppur,Udumalpet,Kannamanaickanur,"10°33'15""","77°16'20""",05-07-2019,86,7,16,2.43,9,5,14,5,0.6594051,44.26135,0.1,8.2,150,50,0.5540653,0,25.79242
63830,Dug Well,Tiruppur,Udumalpet,Kuralikuttai,"10°32'35""","77°15'00""",05-07-2019,81,5,14,2.43,12,2,11,4,1.150456,48.72395,0.2,8.4,130,45,0.7787002,0,35.46586
63831,Dug Well,Tiruppur,Udumalpet,Deepalapatti,"10°32'35""","77°03'19""",05-07-2019,84,6,16,3.645,5,5,11,6,1.150456,48.72395,0.2,8.4,140,55,0.2934711,0,15.06365
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",08-07-2019,448,73,6,54.675,64,15,113,39,1.256717,133.6933,0.8,8,780,240,1.797243,0,34.94658
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",08-07-2019,1212,161,92,109.35,154,25,447,114,0,219.6,0.1,7.4,2050,680,2.569804,0,32.00877
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",08-07-2019,2618,121,160,238.14,357,37,794,850,0,122,0.4,8,4390,1380,4.181621,0,35.24767
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",08-07-2019,2117,221,32,150.66,435,111,879,163,12,225.7,0.05,8.4,3510,700,7.153057,0,52.91991
HP2ETR10 A,Bore Well,Tiruppur,Kangayam,Poomandanvalasu,"11°04'04""","77°33'28""",08-07-2019,651,53,28,18.225,189,10,92,41,12,414.8,0.9,8.5,1120,145,6.830691,4.302072,72.28023
HP2ETR21,Bore Well,Tiruppur,Kangayam,Uthiyur,"10°53'20""","77°31'45""",08-07-2019,1276,12,40,187.11,143,40,425,112,0,634.4,0.8,8.1,2420,870,2.10925,0,25.24796
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",08-07-2019,4140,806,72,323.19,713,88,1276,586,0,189.1,0.5,7.8,6220,1510,7.982783,0,48.87736
HP2ETR24 A,Bore Well,Tiruppur,Dharapuram,Kallivalasu,"10°37'58""","77°25'54""",08-07-2019,710,13,36,41.31,152,10,78,203,0,353.8,1.3,7.9,1220,260,4.10198,0.6033521,54.80788
HP2ETR25 A,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°46'52""","77°27'47""",08-07-2019,877,120,72,60.75,131,9,170,198,0,231.8,0.6,8.2,1400,430,2.749162,0,39.24227
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",08-07-2019,747,91,8,38.88,198,20,113,37,18,427,2.5,9,1250,180,6.420653,4.000499,67.69446
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°52'15""",08-07-2019,1120,16,72,80.19,161,88,220,215,12,512.4,1.1,8.7,1950,510,3.102272,0,36.01373
MWSETR13,Bore Well,Tiruppur,Dharapuram,Sankarandampalayam,"10°48'55""","77°36'24""",08-07-2019,2410,128,64,65.61,644,38,581,691,6,384.3,0.2,8.3,3750,430,13.51443,0,74.54642
MWSETR15,Bore Well,Tiruppur,Dharapuram,Kolathupalayam,"10°44'32""","77°36'38""",08-07-2019,445,25,30,24.3,97,7,103,43,1.12006,188.8484,0.3,7.8,770,175,3.190947,0,53.44193
63334,Dug Well,Tiruppur,Avinashi,Avinashi-TB,"11°11'17""","77°16'18""",08-07-2019,1194,166,88,119.07,140,25,461,82,0,225.7,0.87,8,1970,710,2.286242,0,29.11105
63341,Dug Well,Tiruppur,Avinashi,Ramanathapuram,"11°13'06""","77°11'24""",08-07-2019,957,157,24,58.32,193,40,213,138,12,244,1.4,8.5,1520,300,4.84819,0,54.46073
63344,Bore Well,Tiruppur,Tiruppur,Muthaiankinaru,"11°12'15""","77°20'95""",08-07-2019,2166,219,80,126.36,426,111,879,184,0,280.6,0.4,8.2,3520,720,6.90804,0,51.81867
63347,Dug Well,Tiruppur,Tiruppur,Nallur,"11°06'00""","77°23'30""",08-07-2019,945,156,16,65.61,184,37,213,127,24,244,1.4,8.6,1500,310,4.546674,0,52.83829
63355,Dug Well,Tiruppur,Tiruppur,Kandiyankoil,"11°00'50""","77°28'10""",08-07-2019,2107,226,56,155.52,391,115,893,160,0,219.6,0.2,8.1,3520,780,6.091228,0,47.85343
63357,Dug Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°14'15""",08-07-2019,952,159,20,72.9,170,39,234,132,24,201.3,0.64,8.6,1520,350,3.953455,0,48.05129
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",08-07-2019,1163,258,23.2,47.871,271,47,241,112,0,298.9,1.8,8,1810,255,7.384009,0,65.17325
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",08-07-2019,664,28,38,47.385,122,20,135,130,0,286.7,1,7.6,1170,290,3.117386,0,45.69296
63510,Dug Well,Tiruppur,Dharapuram,P.K.Palayam,"10°46'15""","77°18'50""",08-07-2019,2625,459,300,41.31,269,50,645,533,0,256.2,0.2,8.2,4000,920,3.860712,0,37.32264
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",08-07-2019,657,33,16,23.085,131,98,135,50,0,341.6,0.6,7.7,1070,135,4.905946,2.901174,52.26357
63523,Dug Well,Tiruppur,Dharapuram,Kilankundal,"10°45'05""","77°43'35""",08-07-2019,1342,143,80,97.2,200,84,312,166,0,518.5,0.7,8.1,2250,600,3.552927,0,38.09108
63532,Dug Well,Tiruppur,Kangayam,Uthiyur,"10°53'40""","77°31'40""",08-07-2019,1331,182,116,94.77,184,41,425,120,0,335.5,0.7,8,2240,680,3.070644,0,35.35202
63533,Dug Well,Tiruppur,Dharapuram,Sinukinaru,"10°50'20""","77°33'05""",08-07-2019,1406,100,36,19.44,455,20,390,120,6,518.5,1.7,8.4,2380,170,15.18766,5.302628,83.51086
63536,Dug Well,Tiruppur,Dharapuram,Erichinampalayam,"10°50'40""","77°44'30""",08-07-2019,851,54,40,111.78,97,18,156,99,12,524.6,2.5,8.5,1560,560,1.783417,0,26.57978
63540,Dug Well,Tiruppur,Kangayam,Kadaiyur,"10°59'05""","77°36'30""",08-07-2019,3029,308,300,75.33,667,20,1475,114,0,140.3,0.8,8.1,5040,1060,8.917484,0,57.2306
63542,Dug Well,Tiruppur,Kangayam,Vellakoil,"10°56'40""","77°42'55""",08-07-2019,627,43,18,54.675,122,18,167,57,0,292.8,1,7.8,1100,270,3.230343,0,47.53215
63576,Dug Well,Tiruppur,Kangayam,Sivanmalai,"11°02'15""","77°31'40""",08-07-2019,907,18,80,72.9,138,13,284,99,0,402.6,0.6,7.9,1630,500,2.685657,0,36.76674
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam East,"10°29'17""","77°21'19""",08-07-2019,183,6,14,20.655,18,8,39,22,0.6667271,89.29356,0.6,7.9,330,120,0.7149876,0,23.12407
63818A,Dug Well,Tiruppur,Madathukulam,Neelambur,"10°32'02""","77°21'34""",08-07-2019,78,6,8,7.29,7,5,11,6,0.4185952,44.53141,0.2,8,140,50,0.4307938,0,21.27044
63820A,Dug Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",08-07-2019,1029,305,24,82.62,133,98,170,63,12,280.6,1.6,8.5,1620,400,2.893252,0,35.51801
63826,Dug Well,Tiruppur,Madathukulam,Kaniyur,"10°36'16""","77°22'42""",08-07-2019,1080,309,20,70.47,166,90,177,96,0,305,1.5,8.2,1620,340,3.916806,0,44.24548
63827,Dug Well,Tiruppur,Udumalpet,Ilalayamuthur,"10°28'55""","77°18'00""",08-07-2019,87,9,14,2.43,12,3,11,5,0.7328016,49.18795,0.1,8.2,130,45,0.7787002,0,34.86005
63832,Dug Well,Tiruppur,Udumalpet,Periya Valavadi,"10°32'53""","77°10'58""",08-07-2019,904,141,40,119.07,76,22,312,124,0,140.3,0.6,8.2,1560,590,1.361317,0,21.1063
63355,Dug Well,Tiruppur,Tiruppur,Kandiyankovil,"11°00'50""","77°28'10""",02-01-2023,296,9,26,27,39,12,57,31,0,189,0.36,7.7,540,175,1.285079208,--,36.30668097
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",02-01-2023,141,4,16,10,16,8,28,22,0,73,1.9,7.9,230,80,0.782623792,--,35.72545705
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",02-01-2023,32,6,4,1,2,4,4,5,0,12,0.75,8.1,40,15,0.25819889,--,40.16300093
