Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
63357,Dug Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°14'15""",02-01-2023,1177,51,80,97,145,98,532,64,0,220,0.73,8,2040,600,2.57196423,--,42.43776051
63344,Bore Well,Tiruppur,Tiruppur,Eettiveerampalayam,"11°12'15""","77°20'95""",02-01-2023,1547,175,44,95,334,51,596,160,6,171,0.77,8.3,2580,500,6.484597135,--,61.31059543
63360,Bore Well,Tiruppur,Tiruppur,Abisekhapuram,"11°16'01""","77°21'53""",02-01-2023,2398,54,64,180,405,164,851,570,0,220,1.64,8.1,3950,900,5.866666667,--,54.84059975
63347,Dug Well,Tiruppur,Tiruppur,Nallur,11°06?52?,77°23?29?,02-01-2023,944,95,20,63,193,63,319,69,12,220,1.86,8.5,1520,310,4.770879408,--,61.87215855
63418,Dug Well,Tiruppur,Tiruppur,Semmandapalayam,10°55?25?,77°24?35?,02-01-2023,225,21,28,15,28,8,21,21,0,165,1.21,8.2,390,130,1.052469623,0.1,35.09795886
63517,Dug Well,Tiruppur,Dharapuram,Kolathupalayam,"10°45'35""","77°35'00""",03-01-2023,1123,145,10,40,285,70,241,168,30,268,0.58,8.5,1800,190,8.995905501,1.6,78.96085281
MWSETR15,Bore Well,Tiruppur,Dharapuram,Kolathupalayam,"10°44'32""","77°36'38""",03-01-2023,412,20,16,19,106,8,67,69,0,214,1.22,8.2,710,120,4.199206274,1.1,67.12475983
63505,Dug Well,Tiruppur,Dharapuram,Dhalavaipattinam,"10°40'25""","77°29'00""",03-01-2023,455,24,46,27,71,8,103,87,0,177,0.53,8.2,780,225,2.066666667,--,42.17421178
HP2ETR24 A,Bore Well,Tiruppur,Dharapuram,Kallivalasu,"10°37'58""","77°25'54""",03-01-2023,508,4,96,13,55,8,35,190,6,201,0.61,8.3,830,295,1.397334023,--,30.67911769
63501,Dug Well,Tiruppur,Dharapuram,Munduvellampatti,"10°42'30""","77°19'40""",03-01-2023,1290,130,36,88,265,55,532,120,0,128,0.5,8.2,2110,450,5.421151989,--,58.92207317
HP2ETR25 A,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°46'52""","77°27'47""",03-01-2023,969,93,144,19,120,51,191,217,0,268,1.26,8.2,1530,440,2.479002732,--,42.68400773
63523,Dug Well,Tiruppur,Dharapuram,Kilangundal,"10°45'05""","77°43'35""",03-01-2023,1692,206,112,73,315,94,496,164,12,439,0.34,8.4,2770,580,5.68861537,--,58.15677575
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thurambadi,"10°51'05""","77°40'30""",03-01-2023,762,29,92,51,99,20,142,140,24,329,0.33,4.4,1350,440,2.049944567,--,35.42064853
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'40""","77°44'30""",03-01-2023,897,107,24,78,131,70,220,84,12,342,0.64,8.5,1510,380,2.924038303,--,49.64352266
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°52'15""",03-01-2023,535,8,24,17,120,39,92,122,6,214,0.42,8.4,880,130,4.5607017,1.1,70.55675242
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'15""","77°18'50""",03-01-2023,1846,394,184,83,255,66,518,300,0,92,0.26,8.1,2860,800,3.924442636,--,44.39099566
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'25""","77°18'55""",03-01-2023,3095,447,136,209,515,141,1007,493,0,293,0.15,8,4970,1200,6.466323015,--,52.06925022
63533,Dug Well,Tiruppur,Dharapuram,sirukinar,"10°50'20""","77°33'05""",03-01-2023,1677,300,48,88,294,137,369,282,6,305,1,8.3,2580,480,5.842373947,--,62.88309593
MWSETR13,Bore Well,Tiruppur,Dharapuram,Sankarandampalayam,"10°48'55""","77°36'24""",03-01-2023,1565,69,36,102,267,125,333,529,6,195,0.95,8.4,2450,510,5.136566336,--,59.30248805
63540,Dug Well,Tiruppur,Kangayam,Kadaiyur,"10°59'05""","77°36'30""",03-01-2023,1632,94,128,77,290,102,851,44,6,79,0.52,8.3,2770,635,5.000157478,--,54.48624701
63576,Dug Well,Tiruppur,Kangayam,Sivanmalai,"11°02'15""","77°31'40""",03-01-2023,1112,143,56,61,221,43,397,93,6,183,0.63,8.3,1820,390,4.861148962,--,57.8570639
63532,Dug Well,Tiruppur,Kangayam,Uthiyur,"10°53'40""","77°31'40""",03-01-2023,988,114,36,68,202,23,326,118,6,189,0.67,8.4,1650,370,4.574902155,--,55.96333078
HP2ETR21,Bore Well,Tiruppur,Kangayam,Uthiyur,"10°53'20""","77°31'45""",03-01-2023,688,64,28,54,122,39,184,44,6,293,0.65,8.4,1200,290,3.112267163,--,51.96058706
63542,Dug Well,Tiruppur,Kangayam,Vellakoil,"10°56'40""","77°42'55""",03-01-2023,1385,131,68,100,235,66,496,149,12,256,0.33,8.5,2360,580,4.235319473,--,50.65664267
63827,Dug Well,Tiruppur,Udumalpet,Illayamuthur,"10°28'55""","77°18'00""",03-01-2023,825,133,80,44,101,35,191,195,0,92,0.47,7.9,1280,380,2.257152375,--,41.00243569
63830,Dug Well,Tiruppur,Udumalpet,Kuralkutti,"10°32'35""","77°15'00""",03-01-2023,792,139,48,63,110,23,191,141,0,153,0.35,7.4,1290,380,2.462348045,--,41.52250481
63811,Dug Well,Tiruppur,Udumalpet,Udumalpet,"10°34'25""","77°14'25""",03-01-2023,838,132,32,41,150,63,191,149,0,159,1.9,7.1,1300,250,4.110960958,--,62.11402878
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",03-01-2023,463,11,10,35,99,23,85,75,6,238,0.66,8.3,820,170,3.297949452,0.7,59.22194845
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",03-01-2023,41,14,4,2,2,4,4,5,0,12,1.41,8.1,50,20,0.223606798,--,34.21200224
63334,Dug Well,Tiruppur,Avinashi,Avinashi TB,"11°11'17""","77°16'18""",03-01-2023,206,15,32,19,7,8,25,17,6,153,0.67,8.4,370,160,0.237170825,--,13.88177335
63341,Dug Well,Tiruppur,Avinashi,Ramanathapuram,"11°13'06""","77°11'24""",03-01-2023,841,132,32,56,127,70,220,115,0,177,1.75,8.2,1340,310,3.123790088,--,54.15435197
63569,Bore Well,Tiruppur,Kangeyam,Nathakadaiyur,11°05?14?,77°39?46?,03-01-2023,576,7,20,41,124,23,156,77,12,232,0.98,8.6,1020,220,3.640679257,--,57.82811081
HP2ETR10 A,Bore Well,Tiruppur,Kangeyam,Poomandavalasu,11°04?50?,77°33?28?,03-01-2023,535,7,74,40,64,16,106,21,12,390,1.1,8.5,1000,350,1.496662955,--,31.38306358
HP2ETR12,Bore Well,Tiruppur,Kangeyam,Rasattavalasu,11°02?11?,77°42?47?,03-01-2023,487,74,26,47,64,12,85,87,6,171,0.22,8.4,830,260,1.736486284,--,37.48512687
HP II-03,Bore Well,Tiruppur,Avinashi,Rakkiyapalayam,11°09?36?,77°17?09?,03-01-2023,1562,16,88,80,311,82,581,227,0,354,1.26,8.2,2670,550,5.756419342,--,58.77012277
63828,Dug Well,Tiruppur,Udumalpet,Kanamanaickannur,"10°33'15""","77°16'20""",05-01-2023,40,4,6,2,2,4,7,6,0,18,0.95,7.1,60,25,0.2,--,28.97434416
63806,Dug Well,Tiruppur,Madathukulam,Kongalnagaram,"10°40'35""","77°12'05""",05-01-2023,714,33,72,54,81,31,206,127,0,220,1.12,7.6,1230,400,1.75,--,34.9618775
63804A,Dug Well,Tiruppur,Madathukulam,Gudimangalam,"10°41'42""","77°16'54""",07-01-2023,43,11,6,2,2,4,7,2,0,18,1.8,7.2,60,25,0.2,--,28.97434416
63801,Dug Well,Tiruppur,Madathukulam,Ramachandrapuram,"10°43'30""","77°10'35""",07-01-2023,803,133,76,58,85,27,184,173,0,134,1.15,7.2,1280,430,1.784298442,--,33.89560872
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam,"10°29'17""","77°21'19""",07-01-2023,41,9,4,2,2,4,7,7,0,12,0.94,7.8,60,20,0.223606798,--,34.21200224
63818A,Dug Well,Tiruppur,Madathukulam,Neelambur,"10°32'02""","77°21'34""",07-01-2023,34,3,4,2,2,4,7,6,0,12,1.08,7.2,60,20,0.223606798,--,34.21200224
63826,Dug Well,Tiruppur,Madathukulam,Kaniyur,"10°36'16""","77°22'42""",07-01-2023,39,12,4,2,2,4,4,5,0,12,0.27,8,60,20,0.223606798,--,34.21200224
63820,Bore Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",07-01-2023,132,12,18,6,18,8,18,6,0,92,0.69,8.2,230,70,0.956182887,0.1,41.49667177
63824,Dug Well,Tiruppur,Madathukulam,Poolavadi,10°44?26?,77°18?32?,07-01-2023,752,133,64,39,122,23,191,116,0,128,0.83,7.2,1200,320,2.96279007,--,47.94887419
63831,Dug Well,Tiruppur,Udumalpet,Deepalapatti,"10°32'35""","77°03'19""",09-01-2023,272,22,36,18,28,8,50,49,0,122,0.42,7.8,460,165,0.934198733,--,30.27192608
63832,Dug Well,Tiruppur,Udumalpet,periyavalavadi,"10°32'53""","77°10'58""",09-01-2023,1685,166,44,109,329,106,617,189,0,250,0.26,8.2,2760,560,6.042852921,--,60.44576692
MWSETR06,Bore Well,Tiruppur,Uthukuli,Virumandampalayam,11°12?47?,77°23?40?,09-01-2023,670,78,14,54,136,20,220,60,18,140,1,8.6,1140,255,3.694723317,--,55.62006507
53271,Dug Well,Tiruppur,Uthukuli,Thalapathi,11°13?45?,77°25?03?,09-01-2023,913,58,20,75,175,20,191,130,0,488,2.37,8.2,1550,360,4.005551703,0.8,53.18535443
53260,Dug Well,Tiruppur,Uthukuli,Reddipalayam,11°10?32?,77°27?34?,09-01-2023,1009,120,36,51,212,63,390,21,12,207,1.24,8.4,1680,300,5.311622477,--,64.42181154
53261,Dug Well,Tiruppur,Uthukuli,Sarkarperiyakulam,11°07?50?,77°24?14?,09-01-2023,2035,232,112,92,393,125,851,108,12,220,0.66,8.3,3320,660,6.656165973,--,60.68501333
63424,Dug Well,Tiruppur,Palladam,Anupatti(Chinnakarai),"10°58'05""","77°13'46""",10-01-2023,69,1,10,5,5,4,11,8,0,49,1.1,8.2,110,45,0.298142397,--,26.0012617
HP1CTR05(A),Bore Well,Tiruppur,Palladam,Venkittapuram,"10°45'55""","77°16'26""",10-01-2023,665,32,32,32,129,43,156,164,0,153,1.52,8.2,1080,210,3.864367132,--,61.36858586
63431,Dug Well,Tiruppur,Palladam,Kethanur,"10°54'54""","77°15'49""",10-01-2023,1047,113,44,51,117,35,291,140,0,512,0.76,8.2,2050,320,2.850986671,2,48.38935047
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'32""","77°32'37""",10-01-2023,1009,7,140,32,152,31,390,190,6,122,0.96,8.5,1700,480,3.012474066,--,43.47581954
63430,Dug Well,Tiruppur,Palladam,Chinnakkarai,"11°03'26""","77°18'34""",12-01-2023,639,43,26,34,117,63,234,49,0,146,1.51,8,1070,205,3.561994508,--,62.10617283
63433,Dug Well,Tiruppur,Palladam,Narayanapuram,"11°01'31""","77°17'24""",12-01-2023,727,162,40,54,120,16,220,38,0,153,1.24,8.2,1200,320,2.906888371,--,46.68280737
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",12-01-2023,82,17,10,6,7,4,7,3,0,55,2.12,8.2,130,50,0.424264069,--,29.07853513
63831,Dug Well,Tiruppur,Udumalpet,Deepalapatti,"10°32'35""","77°03'19""",03-07-2023,294,2,36,23,41,8,35,27,0,244,0.87,7.4,560,185,1.32338632,0.3,35.03264747
63832,Dug Well,Tiruppur,Udumalpet,periyavalavadi,"10°32'53""","77°10'58""",03-07-2023,1482,37,40,73,370,63,617,120,0,323,0.45,7.4,2570,400,8.05,--,68.91338809
63828,Dug Well,Tiruppur,Udumalpet,Kanamanaickannur,"10°33'15""","77°16'20""",08-07-2023,41,6,4,2,2,4,7,7,0,18,0.12,7.4,60,20,0.223606798,--,34.21200224
63804A,Dug Well,Tiruppur,Madathukulam,Gudimangalam,"10°41'42""","77°16'54""",08-07-2023,37,2,4,2,2,4,7,7,0,18,0.12,6.8,60,20,0.223606798,--,34.21200224
63827,Dug Well,Tiruppur,Udumalpet,Illayamuthur,"10°28'55""","77°18'00""",10-07-2023,40,1,2,2,7,4,7,1,0,31,0.18,6.5,70,15,0.774596669,0.2,60.64111141
63811,Dug Well,Tiruppur,Udumalpet,Udumalpet,"10°34'25""","77°14'25""",10-07-2023,38,5,4,2,2,4,7,5,0,18,0.11,7,60,20,0.223606798,--,34.21200224
63818A,Dug Well,Tiruppur,Madathukulam,Neelambur,"10°32'02""","77°21'34""",10-07-2023,53,2,6,4,5,4,7,6,0,37,0.24,7.8,100,30,0.365148372,--,33.7384902
63424,Dug Well,Tiruppur,Palladam,Anupatti(Chinnakarai),"10°58'05""","77°13'46""",10-07-2023,47,2,4,2,7,4,7,5,0,31,0.18,7.7,80,20,0.670820393,0.1,52.77161139
HP1CTR05(A),Bore Well,Tiruppur,Palladam,Venkittapuram,"10°45'55""","77°16'26""",10-07-2023,2599,167,80,136,430,325,737,403,0,641,1.46,8.1,4210,760,6.783202939,--,64.06721806
63430,Dug Well,Tiruppur,Palladam,Chinnakkarai,"11°03'26""","77°18'34""",10-07-2023,691,97,60,43,85,55,121,62,0,336,0.32,7.5,1160,325,2.052390726,--,43.88362608
63433,Dug Well,Tiruppur,Palladam,Narayanapuram,"11°01'31""","77°17'24""",10-07-2023,695,107,62,45,81,59,117,53,0,342,0.23,8,1140,340,1.898141506,--,42.56365996
63431,Dug Well,Tiruppur,Palladam,Kethanur,"10°54'54""","77°15'49""",10-07-2023,1215,259,52,78,214,59,269,98,0,372,0.84,7.9,1960,450,4.384062043,--,54.59403324
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'32""","77°32'37""",10-07-2023,1110,148,64,95,163,31,305,182,0,244,0.28,7.8,1830,550,3.027450172,--,41.76566904
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",10-07-2023,648,69,40,56,90,47,142,51,0,305,0.39,8,1170,330,2.146879342,--,43.69909235
63517,Dug Well,Tiruppur,Dharapuram,Kolathupalayam,"10°45'35""","77°35'00""",10-07-2023,505,19,20,28,108,27,152,62,0,177,0.33,8.1,860,165,3.658945038,--,62.04378504
MWSETR15,Bore Well,Tiruppur,Dharapuram,Kolathupalayam,"10°44'32""","77°36'38""",10-07-2023,546,82,32,29,97,20,96,120,0,140,1.43,7.9,870,200,2.969848481,--,54.31803034
63505,Dug Well,Tiruppur,Dharapuram,Dhalavaipattinam,"10°40'25""","77°29'00""",10-07-2023,310,3,18,30,41,16,53,63,0,171,1.27,8,560,170,1.38053698,--,39.48625644
HP2ETR24 A,Bore Well,Tiruppur,Dharapuram,Kallivalasu,"10°37'58""","77°25'54""",10-07-2023,436,5,22,43,64,12,28,149,0,226,1.69,8.2,760,230,1.846265326,--,40.05019863
63501,Dug Well,Tiruppur,Dharapuram,Munduvellampatti,"10°42'30""","77°19'40""",10-07-2023,1389,384,36,100,225,70,347,135,0,183,1.3,8,2190,500,4.382693236,--,53.65367899
HP2ETR25 A,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°46'52""","77°27'47""",10-07-2023,1378,100,88,92,205,55,390,405,0,85,0.83,8,2230,600,3.633409785,--,46.35839796
63523,Dug Well,Tiruppur,Dharapuram,Kilangundal,"10°45'05""","77°43'35""",10-07-2023,2120,126,48,112,469,133,837,273,6,232,0.74,8.3,3530,580,8.470638945,--,67.26239425
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thurambadi,"10°51'05""","77°40'30""",10-07-2023,269,11,20,21,41,16,50,18,12,159,0.43,8.5,490,135,1.549193338,0.3,44.61141975
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'40""","77°44'30""",10-07-2023,980,192,24,73,193,27,227,101,12,262,2.04,8.3,1630,360,4.427188724,--,55.83517551
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°52'15""",10-07-2023,609,8,20,39,127,27,149,117,0,244,1.42,8,1030,210,3.795360576,--,59.68179163
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'15""","77°18'50""",10-07-2023,1266,244,64,73,244,35,347,131,0,256,0.77,8.1,2030,460,4.942275484,--,55.60782155
63533,Dug Well,Tiruppur,Dharapuram,sirukinar,"10°50'20""","77°33'05""",10-07-2023,822,183,22,49,159,43,152,104,12,195,1.81,8.4,1290,255,4.320947608,--,61.03036909
MWSETR13,Bore Well,Tiruppur,Dharapuram,Sankarandampalayam,"10°48'55""","77°36'24""",10-07-2023,1438,87,32,83,315,63,404,304,12,275,1.69,8.5,2350,420,6.6849155,--,64.55835742
63540,Dug Well,Tiruppur,Kangayam,Kadaiyur,"10°59'05""","77°36'30""",10-07-2023,842,30,64,27,198,20,404,38,0,122,0.51,8,1450,270,5.233793327,--,62.75376175
63576,Dug Well,Tiruppur,Kangayam,Sivanmalai,"11°02'15""","77°31'40""",10-07-2023,1061,141,40,80,189,43,397,98,0,146,0.5,8.1,1780,430,3.954391142,--,52.12525655
63532,Dug Well,Tiruppur,Kangayam,Uthiyur,"10°53'40""","77°31'40""",10-07-2023,1307,228,56,88,235,47,397,164,0,183,0.61,8.1,2130,500,4.561578674,--,53.28080991
HP2ETR21,Bore Well,Tiruppur,Kangayam,Uthiyur,"10°53'20""","77°31'45""",10-07-2023,1176,182,56,78,214,39,355,127,0,250,0.57,8.2,1930,460,4.336147358,--,52.842612
63542,Dug Well,Tiruppur,Kangayam,Vellakoil,"10°56'40""","77°42'55""",10-07-2023,1194,103,16,80,285,31,447,107,12,226,0.66,8.5,2020,370,6.446453037,--,64.18289907
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",10-07-2023,88,21,8,6,12,4,7,2,6,43,0.89,8.5,140,45,0.745355992,--,41.16787998
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",10-07-2023,985,185,36,63,179,47,284,81,0,220,1.15,8,1600,350,4.169275374,--,56.33510678
63355,Dug Well,Tiruppur,Tiruppur,Kandiyankovil,"11°00'50""","77°28'10""",10-07-2023,322,102,28,27,30,12,53,21,0,98,0.33,7.8,510,180,0.96896279,--,30.8411125
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",10-07-2023,52,5,6,4,5,4,7,2,0,37,0.03,7.8,90,30,0.365148372,--,33.7384902
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",10-07-2023,253,22,16,12,53,12,35,23,0,159,0.87,8.1,440,90,2.424412873,0.8,59.41607566
63357,Dug Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°14'15""",10-07-2023,298,18,20,22,48,16,43,24,0,214,0.78,8.1,530,140,1.774823935,0.7,47.10238376
63334,Dug Well,Tiruppur,Avinashi,Avinashi TB,"11°11'17""","77°16'18""",10-07-2023,802,83,8,50,184,43,124,96,12,403,1.04,8.6,1350,225,5.333333333,2.5,66.91920905
63341,Dug Well,Tiruppur,Avinashi,Ramanathapuram,"11°13'06""","77°11'24""",10-07-2023,85,6,8,7,9,4,25,4,0,43,0.06,8,140,50,0.565685425,--,33.63868063
63344,Bore Well,Tiruppur,Tiruppur,Eettiveerampalayam,"11°12'15""","77°20'95""",10-07-2023,1510,186,28,102,260,145,525,111,0,305,0.2,7.8,2470,490,5.104819651,--,60.60032691
63360,Bore Well,Tiruppur,Tiruppur,Abisekhapuram,"11°16'01""","77°21'53""",10-07-2023,59,9,6,4,7,4,7,6,0,31,0.13,7.8,90,30,0.547722558,--,39.30810601
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periyakumarapalayam,10°27?45?,77°11?07?,10-07-2023,2769,735,80,136,430,285,695,283,0,250,0.8,8.1,4140,760,6.783202939,--,63.17351719
63569,Bore Well,Tiruppur,Kangeyam,Nathakadaiyur,11°05?14?,77°39?46?,10-07-2023,451,11,12,47,81,20,92,36,18,268,1.4,8.6,840,225,2.333333333,0.5,47.52989981
HP2ETR10 A,Bore Well,Tiruppur,Kangeyam,Poomandavalasu,11°04?50?,77°33?28?,10-07-2023,472,4,40,52,64,8,142,9,0,305,0.5,8.2,920,315,1.577621275,--,32.2959068
HP2ETR12,Bore Well,Tiruppur,Kangeyam,Rasattavalasu,11°02?11?,77°42?47?,10-07-2023,506,48,20,44,78,31,103,72,12,195,1.48,8.4,850,230,2.24189361,--,47.59738061
MWSETR06,Bore Well,Tiruppur,Uthukuli,Virumandampalayam,11°12?45?,77°23?44?,10-07-2023,693,148,32,54,110,27,170,45,0,214,0.66,8.2,1140,300,2.771281292,--,47.5951575
53271,Dug Well,Tiruppur,Uthukuli,Thalapathi,11°13?45?,77°25?03?,10-07-2023,737,6,12,50,179,39,156,78,12,409,1.6,8.5,1320,235,5.08815897,2.4,65.1415855
53260,Dug Well,Tiruppur,Uthukuli,Reddipalayam,11°10?32?,77°27?34?,10-07-2023,1195,171,28,71,271,31,383,130,18,183,0.56,8.3,1970,360,6.219146065,--,63.52801984
53261,Dug Well,Tiruppur,Uthukuli,Sarkarperiapalayam,11°07?50?,77°24?14?,10-07-2023,546,37,10,28,129,35,152,64,24,134,0.88,8.8,910,140,4.732863826,0.2,69.94185902
HP II-03,Bore Well,Tiruppur,Avinashi,Rakkiyapalayam,11°09?36?,77°17?09?,10-07-2023,1683,192,60,117,336,66,737,56,0,238,0.1,8.1,2870,630,5.816779232,--,56.41557084
63347,Dug Well,Tiruppur,Tiruppur,Nallur,11°06?52?,77°23?29?,10-07-2023,739,124,24,45,150,31,202,71,0,183,0.36,7.7,1200,245,4.152697672,--,59.94031393
63418,Dug Well,Tiruppur,Tiruppur,Semmandapalayam,10°55?25?,77°24?35?,10-07-2023,51,12,8,2,5,4,7,1,0,24,0.12,8,90,30,0.365148372,--,36.17962174
63830,Dug Well,Tiruppur,Udumalpet,Kuralkutti,"10°32'35""","77°15'00""",11-07-2023,63,7,4,7,7,4,7,2,0,49,0.15,6.6,110,40,0.474341649,1.11022E-16,34.44956703
63806,Dug Well,Tiruppur,Madathukulam,Kongalnagaram,"10°40'35""","77°12'05""",11-07-2023,42,3,4,2,5,4,7,5,0,24,0.21,6.8,70,20,0.447213595,--,46.76422246
63824,Dug Well,Tiruppur,Madathukulam,Poolavadi,10°44?26?,77°18?32?,11-07-2023,60,8,4,6,7,4,7,5,0,37,0.28,7.2,100,35,0.507092553,--,37.02021436
63820,Bore Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",13-07-2023,56,1,4,5,7,4,7,6,0,43,0.15,7.8,100,30,0.547722558,0.1,40.0054446
63801,Dug Well,Tiruppur,Madathukulam,Ramachandrapuram,"10°43'30""","77°10'35""",14-07-2023,1228,3,120,103,138,31,255,422,0,311,0.25,6.6,2110,725,2.228344058,--,31.98818528
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam,"10°29'17""","77°21'19""",14-07-2023,61,7,6,6,5,4,4,4,0,49,1.27,6.6,110,40,0.316227766,--,28.76240556
63826,Dug Well,Tiruppur,Madathukulam,Kaniyur,"10°36'16""","77°22'42""",14-07-2023,57,1,4,6,7,4,7,6,0,43,0.17,7.1,100,35,0.507092553,--,37.02021436
